20250818,06:25:00,1.17005,1.17015,1.16959,1.16964,197,197,1
20250818,06:30:00,1.16961,1.16988,1.16956,1.16974,200,200,1
20250818,06:35:00,1.16973,1.16991,1.16962,1.16977,169,169,1
20250818,06:40:00,1.16976,1.1698,1.16951,1.16961,138,138,1
20250818,06:45:00,1.16964,1.17,1.16952,1.16952,221,221,1
20250818,06:50:00,1.16951,1.16974,1.1695,1.16966,201,201,1
20250818,06:55:00,1.16965,1.16965,1.16933,1.16964,384,384,1
20250818,07:00:00,1.16967,1.1697,1.16927,1.16935,201,201,1
20250818,07:05:00,1.16936,1.16957,1.16925,1.16943,167,167,1
20250818,07:10:00,1.16942,1.17026,1.16942,1.17011,250,250,1
20250818,07:15:00,1.1701,1.17013,1.16962,1.16971,264,264,1
20250818,07:20:00,1.1697,1.17028,1.1697,1.17021,201,201,1
20250818,07:25:00,1.1702,1.1702,1.16989,1.17,163,163,1
20250818,07:30:00,1.17,1.17033,1.16989,1.1699,223,223,1
20250818,07:35:00,1.1699,1.17,1.16963,1.16971,189,189,1
20250818,07:40:00,1.1697,1.17007,1.16966,1.16999,143,143,1
20250818,07:45:00,1.16995,1.17008,1.16932,1.16932,194,194,1
20250818,07:50:00,1.16933,1.16938,1.1684,1.16861,432,432,1
20250818,07:55:00,1.16859,1.16859,1.16802,1.16813,389,389,1
20250818,08:00:00,1.16809,1.16821,1.1671,1.16717,511,511,1
20250818,08:05:00,1.16717,1.16754,1.16715,1.16739,410,410,1
20250818,08:10:00,1.16739,1.16755,1.16717,1.16726,211,211,1
20250818,08:15:00,1.16725,1.16767,1.16724,1.16764,286,286,1
20250818,08:20:00,1.16764,1.16822,1.16757,1.16822,699,699,1
20250818,08:25:00,1.1682,1.16855,1.1682,1.16849,415,415,1
20250818,08:30:00,1.16847,1.16864,1.16834,1.16854,176,176,1
20250818,08:35:00,1.16853,1.16871,1.16838,1.16849,249,249,1
20250818,08:40:00,1.16843,1.16852,1.16828,1.16828,166,166,1
20250818,08:45:00,1.1683,1.16872,1.16816,1.16858,322,322,1
20250818,08:50:00,1.16862,1.16869,1.16832,1.16861,169,169,1
20250818,08:55:00,1.16858,1.16858,1.16805,1.16818,277,277,1
20250818,09:00:00,1.16821,1.16831,1.1677,1.16781,182,182,1
20250818,09:05:00,1.16782,1.16838,1.1677,1.16834,161,161,1
20250818,09:10:00,1.16832,1.16858,1.1682,1.16854,241,241,1
20250818,09:15:00,1.16853,1.16856,1.16815,1.16823,151,151,1
20250818,09:20:00,1.16822,1.16827,1.16798,1.16812,116,116,1
20250818,09:25:00,1.16813,1.16837,1.16813,1.16815,138,138,1
20250818,09:30:00,1.16815,1.16819,1.1679,1.16798,127,127,1
20250818,09:35:00,1.16796,1.16809,1.16759,1.16773,133,133,1
20250818,09:40:00,1.16774,1.16776,1.16733,1.16738,178,178,1
20250818,09:45:00,1.1674,1.16752,1.16734,1.16743,117,117,1
20250818,09:50:00,1.16744,1.16759,1.16729,1.16748,229,229,1
20250818,09:55:00,1.1675,1.16813,1.16747,1.16801,410,410,1
20250818,10:00:00,1.16798,1.16813,1.16787,1.16811,204,204,1
20250818,10:05:00,1.1681,1.1681,1.16777,1.16788,147,147,1
20250818,10:10:00,1.16787,1.16805,1.16787,1.168,112,112,1
20250818,10:15:00,1.16798,1.16819,1.16795,1.16799,121,121,1
20250818,10:20:00,1.16799,1.16805,1.16786,1.16791,99,99,1
20250818,10:25:00,1.1679,1.16799,1.16773,1.16788,98,98,1
20250818,10:30:00,1.1679,1.16806,1.16779,1.16805,124,124,1
20250818,10:35:00,1.16805,1.16815,1.16787,1.168,133,133,1
20250818,10:40:00,1.16799,1.16822,1.16798,1.16816,168,168,1
20250818,10:45:00,1.16815,1.16828,1.16807,1.16807,131,131,1
20250818,10:50:00,1.16807,1.16829,1.1679,1.16803,85,85,1
20250818,10:55:00,1.16801,1.16812,1.16796,1.16808,119,119,1
